HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
France,Spain,1977,1,2,3
Mexico,Tunisia,1977,6,0,6
Spain,Mexico,1977,1,1,2
Tunisia,France,1977,0,1,1
France,Mexico,1977,1,1,2
Spain,Tunisia,1977,0,1,1
Morocco,Honduras,1977,0,1,1
Uruguay,Hungary,1977,2,1,3
Honduras,Uruguay,1977,0,1,1
Hungary,Morocco,1977,2,0,2
Hungary,Honduras,1977,0,2,2
Uruguay,Morocco,1977,3,0,3
Italy,Ivory Coast,1977,1,1,2
Brazil,Iran,1977,5,1,6
Iran,Italy,1977,0,0,0
Ivory Coast,Brazil,1977,1,1,2
Iran,Ivory Coast,1977,3,0,3
Brazil,Italy,1977,2,0,2
Soviet Union,Iraq,1977,3,1,4
Austria,Paraguay,1977,0,1,1
Iraq,Austria,1977,5,1,6
Paraguay,Soviet Union,1977,1,2,3
Paraguay,Iraq,1977,4,0,4
Austria,Soviet Union,1977,0,0,0
Mexico,Brazil,1977,1,1,2
Uruguay,Soviet Union,1977,0,0,0
Brazil,Uruguay,1977,4,0,4
Mexico,Soviet Union,1977,2,2,4
Mexico,Algeria,1979,1,1,2
Japan,Spain,1979,0,1,1
Spain,Mexico,1979,2,1,3
Algeria,Japan,1979,0,0,0
Spain,Algeria,1979,0,1,1
Japan,Mexico,1979,1,1,2
Poland,Yugoslavia,1979,2,0,2
Argentina,Indonesia,1979,5,0,5
Yugoslavia,Argentina,1979,0,1,1
Indonesia,Poland,1979,0,6,6
Poland,Argentina,1979,1,4,5
Yugoslavia,Indonesia,1979,5,0,5
Canada,Portugal,1979,3,1,4
Paraguay,South Korea,1979,3,0,3
Portugal,Paraguay,1979,1,0,1
South Korea,Canada,1979,1,0,1
Canada,Paraguay,1979,0,3,3
Portugal,South Korea,1979,0,0,0
Soviet Union,Hungary,1979,5,1,6
Uruguay,Guinea,1979,5,0,5
Hungary,Uruguay,1979,0,2,2
Guinea,Soviet Union,1979,0,3,3
Soviet Union,Uruguay,1979,0,1,1
Hungary,Guinea,1979,2,0,2
Spain,Poland,1979,0,0,0
Argentina,Algeria,1979,5,0,5
Paraguay,Soviet Union,1979,2,2,4
Uruguay,Portugal,1979,1,0,1
Argentina,Uruguay,1979,2,0,2
Poland,Soviet Union,1979,0,1,1
Uruguay,Poland,1979,1,1,2
Argentina,Soviet Union,1979,3,1,4
Poland,Qatar,1981,0,1,1
United States,Uruguay,1981,0,3,3
United States,Qatar,1981,1,1,2
Uruguay,Poland,1981,1,0,1
Qatar,Uruguay,1981,0,1,1
Poland,United States,1981,4,0,4
Italy,South Korea,1981,1,4,5
Romania,Brazil,1981,1,1,2
Romania,South Korea,1981,1,0,1
Brazil,Italy,1981,1,0,1
South Korea,Brazil,1981,0,3,3
Italy,Romania,1981,0,1,1
Spain,Egypt,1981,2,2,4
West Germany,Mexico,1981,1,0,1
West Germany,Egypt,1981,1,2,3
Mexico,Spain,1981,1,1,2
Egypt,Mexico,1981,3,3,6
Spain,West Germany,1981,2,4,6
England,Cameroon,1981,2,0,2
Australia,Argentina,1981,2,1,3
Australia,Cameroon,1981,3,3,6
England,Argentina,1981,1,1,2
