Home,Score,Away,year
Japan ,v, Egypt,2025
Chile ,v, New Zealand,2025
Egypt ,v, New Zealand,2025
Chile ,v, Japan,2025
Egypt ,v, Chile,2025
New Zealand ,v, Japan,2025
South Korea ,v, Ukraine,2025
Paraguay ,v, Panama,2025
Panama ,v, Ukraine,2025
South Korea ,v, Paraguay,2025
Panama ,v, South Korea,2025
Ukraine ,v, Paraguay,2025
Morocco ,v, Spain,2025
Brazil ,v, Mexico,2025
Spain ,v, Mexico,2025
Brazil ,v, Morocco,2025
Spain ,v, Brazil,2025
Mexico ,v, Morocco,2025
Italy ,v, Australia,2025
Cuba ,v, Argentina,2025
Italy ,v, Cuba,2025
Argentina ,v, Australia,2025
Argentina ,v, Italy,2025
Australia ,v, Cuba,2025
France ,v, South Africa,2025
United States ,v, New Caledonia,2025
United States ,v, France,2025
South Africa ,v, New Caledonia,2025
South Africa ,v, United States,2025
New Caledonia ,v, France,2025
Norway ,v, Nigeria,2025
Colombia ,v, Saudi Arabia,2025
Colombia ,v, Norway,2025
Nigeria ,v, Saudi Arabia,2025
Nigeria ,v, Colombia,2025
Saudi Arabia ,v, Norway,2025
Runners-up Group A,Match 37,Runners-up Group C,2025
Winners Group B,Match 39,3rd Group A/C/D,2025
Winners Group D,Match 38,3rd Group B/E/F,2025
Winners Group F,Match 40,Runners-up Group E,2025
Winners Group A,Match 44,3rd Group C/D/E,2025
Runners-up Group B,Match 43,Runners-up Group F,2025
Winners Group E,Match 41,Runners-up Group D,2025
Winners Group C,Match 42,3rd Group A/B/F,2025
Winners Match 39,Match 46,Winners Match 40,2025
Winners Match 37,Match 45,Winners Match 38,2025
Winners Match 41,Match 47,Winners Match 42,2025
Winners Match 43,Match 48,Winners Match 44,2025
Winners Match 47,Match 50,Winners Match 48,2025
Winners Match 45,Match 49,Winners Match 46,2025
Losers Match 49,Match 51,Losers Match 50,2025
Winners Match 49,Match 52,Winners Match 50,2025
