Home,Score,Away,year
France ,1–2, Spain,1977
Mexico ,6–0, Tunisia,1977
Spain ,1–1, Mexico,1977
Tunisia ,0–1, France,1977
France ,1–1, Mexico,1977
Spain ,0–1, Tunisia,1977
Morocco ,0–1, Honduras,1977
Uruguay ,2–1, Hungary,1977
Honduras ,0–1, Uruguay,1977
Hungary ,2–0, Morocco,1977
Hungary ,0–2, Honduras,1977
Uruguay ,3–0, Morocco,1977
Italy ,1–1, Ivory Coast,1977
Brazil ,5–1, Iran,1977
Iran ,0–0, Italy,1977
Ivory Coast ,1–1, Brazil,1977
Iran ,3–0, Ivory Coast,1977
Brazil ,2–0, Italy,1977
Soviet Union ,3–1, Iraq,1977
Austria ,0–1, Paraguay,1977
Iraq ,5–1, Austria,1977
Paraguay ,1–2, Soviet Union,1977
Paraguay ,4–0, Iraq,1977
Austria ,0–0, Soviet Union,1977
Mexico ,1–1 (a.e.t.), Brazil,1977
Uruguay ,0–0 (a.e.t.), Soviet Union,1977
Brazil ,4–0, Uruguay,1977
Mexico ,2–2 (a.e.t.), Soviet Union,1977
Mexico ,1–1, Algeria,1979
Japan ,0–1, Spain,1979
Spain ,2–1, Mexico,1979
Algeria ,0–0, Japan,1979
Spain ,0–1, Algeria,1979
Japan ,1–1, Mexico,1979
Poland ,2–0, Yugoslavia,1979
Argentina ,5–0, Indonesia,1979
Yugoslavia ,0–1, Argentina,1979
Indonesia ,0–6, Poland,1979
Poland ,1–4, Argentina,1979
Yugoslavia ,5–0, Indonesia,1979
Canada ,3–1, Portugal,1979
Paraguay ,3–0, South Korea,1979
Portugal ,1–0, Paraguay,1979
South Korea ,1–0, Canada,1979
Canada ,0–3, Paraguay,1979
Portugal ,0–0, South Korea,1979
Soviet Union ,5–1, Hungary,1979
Uruguay ,5–0, Guinea,1979
Hungary ,0–2, Uruguay,1979
Guinea ,0–3, Soviet Union,1979
Soviet Union ,0–1, Uruguay,1979
Hungary ,2–0, Guinea,1979
Spain ,0–0 (a.e.t.), Poland,1979
Argentina ,5–0, Algeria,1979
Paraguay ,2–2 (a.e.t.), Soviet Union,1979
Uruguay ,1–0 (a.e.t.), Portugal,1979
Argentina ,2–0, Uruguay,1979
Poland ,0–1, Soviet Union,1979
Uruguay ,1–1 (a.e.t.), Poland,1979
Argentina ,3–1, Soviet Union,1979
Poland ,0–1, Qatar,1981
United States ,0–3, Uruguay,1981
United States ,1–1, Qatar,1981
Uruguay ,1–0, Poland,1981
Qatar ,0–1, Uruguay,1981
Poland ,4–0, United States,1981
Italy ,1–4, South Korea,1981
Romania ,1–1, Brazil,1981
Romania ,1–0, South Korea,1981
Brazil ,1–0, Italy,1981
South Korea ,0–3, Brazil,1981
Italy ,0–1, Romania,1981
Spain ,2–2, Egypt,1981
West Germany ,1–0, Mexico,1981
West Germany ,1–2, Egypt,1981
Mexico ,1–1, Spain,1981
Egypt ,3–3, Mexico,1981
Spain ,2–4, West Germany,1981
England ,2–0, Cameroon,1981
Australia ,2–1, Argentina,1981
Australia ,3–3, Cameroon,1981
England ,1–1, Argentina,1981
Cameroon ,0–1, Argentina,1981
England ,1–1, Australia,1981
Uruguay ,1–2, Romania,1981
Brazil ,2–3, Qatar,1981
West Germany ,1–0, Australia,1981
England ,4–2, Egypt,1981
Qatar ,2–1, England,1981
Romania ,0–1 (a.e.t.), West Germany,1981
Romania ,1–0, England,1981
West Germany ,4–0, Qatar,1981
Mexico ,1–1, Australia,1983
South Korea ,0–2, Scotland,1983
South Korea ,2–1, Mexico,1983
Scotland ,1–2, Australia,1983
Australia ,1–2, South Korea,1983
Mexico ,0–1, Scotland,1983
Poland ,7–2, Ivory Coast,1983
Uruguay ,3–2, United States,1983
United States ,1–0, Ivory Coast,1983
Uruguay ,3–1, Poland,1983
Poland ,2–0, United States,1983
